"Plugin","Version","Type","Workflow","Run_ID","Commit","File_Location","Rule_Or_Step","Message","Severity"
"pakcli/local","1.0.11","GitHub-Action","Release Obsidian plugin","33590161265","3359016",".github/workflows/release.yml","CI/CD Build & Release","Process completed with exit code 1","Error"
"pakcli/local","1.0.11","GitHub-Action","Release Obsidian plugin","33590161265","3359016",".github/workflows/release.yml","CI/CD Build & Release","Node.js 20 is deprecated. The following actions target Node.js 20 but are being forced to run on Node.js 24: actions/checkout@v4; actions/setup-node@v4. For more information see: [https://github.blog/changelog/2025-09-19-deprecation-of-node-20-on-github-actions-runners/](https://github.blog/changelog/2025-09-19-deprecation-of-node-20-on-github-actions-runners/)","Warning"
